celltype,gene,deg,eff,sens,trans,eigenvec_centr,closeness_centr
Fib,ADH1B,6,11.144687621929402,2.14752744585428,0.06666666666666667,0.030669301371484787,0.228310502283105
Fib,SCARA5,2,1.6873709865028925,2.010039792655075,0,0.039181763862731846,0.22779043280182232
Fib,GPX3,6,9.536127779867096,2.0097472725259755,0.13333333333333333,0.026157387393486903,0.23980815347721823
Fib,TLR5,1,0.5368861094160589,1.9990213807128068,0,0.028107563851722552,0.22271714922049
Fib,SLIT3,5,5.896340033106639,1.9986910747687352,0.4,0.10011813563049772,0.2724795640326976
Fib,PCDH9,2,1.946771356673201,1.9853042675298251,0,0.02928633720261827,0.24154589371980675
Fib,MUSK,1,0.729053418210675,1.9744430504011312,0,0.0396191136414325,0.22779043280182232
Fib,EGFL6,1,0.7290534182106715,1.9744430504011254,0,0.0396191136414325,0.22779043280182232
Fib,SLIT2,5,5.730046208766023,1.962415705802466,0.3,0.09902737191541999,0.2724795640326976
Fib,PROCR,3,3.79389590967214,1.9589225377908503,0.3333333333333333,0.06152896311605133,0.2457002457002457
Fib,COL13A1,1,0.9293483294804004,1.9366137488835167,0,0.028503906985377685,0.2403846153846154
Fib,ANK2,3,2.793053142808284,1.877917855608002,0,0.013408285187559342,0.2159827213822894
Fib,NTN1,5,6.300815181807611,1.8754772484846516,0.2,0.04640978237428882,0.23148148148148148
Fib,PCOLCE2,5,12.288567472781025,1.850693784320082,0.4,0.09855216096861287,0.28328611898017
Fib,FGFR4,2,1.6509607459936984,1.7870882433093775,1,0.09567508489445785,0.24752475247524752
Fib,RGMA,2,2.035958499660937,1.7396094735627294,0,0.022512835543886688,0.2247191011235955
Fib,DCLK1,2,2.346180885269305,1.7374487501469733,0,0.022840517424127953,0.22026431718061673
Fib,GPC3,5,7.918056989227301,1.7124478080832095,0.4,0.14753471322381964,0.26525198938992045
Fib,OGN,10,24.011507884286374,1.6926288782622032,0.17777777777777778,0.13354628085737794,0.2840909090909091
Fib,ADAM12,2,2.751079709852974,1.6753037190383788,1,0.049152813182355835,0.24875621890547264
Fib,RSPO3,5,9.128643542742415,1.6670041252845464,0.5,0.12527335234093848,0.25906735751295334
Fib,PLPP3,1,0.5985531451229702,1.6423304035903503,0,0.015823472092511157,0.22172949002217296
Fib,MATN2,1,0.8207537982236479,1.635811858849368,0,0.01340581461331081,0.2222222222222222
Fib,CHRDL1,3,4.634087298331196,1.591630762940948,0,0.02462089480450326,0.23148148148148148
